run_accession	sample_title	fastq_https	custom_name
#N/A	immunoprecipitate, quiescence, Hho1, strain 6336	https://www.dropbox.com/scl/fi/dlqs2kvvdkw4i0hzdfpqo/6337_Q_lP_S32_R1_001.fastq.gz?rlkey=10ssqr6fh8kbxqorct6jilf5s&st=cd37qcd9&dl=1;https://www.dropbox.com/scl/fi/zult1v9nstbhxhco1pwr6/6337_Q_lP_S32_R2_001.fastq.gz?rlkey=xvwn09mtyoqgqgk4xo5ucl56t&st=d1xghgfc&dl=1	IP_WT_Q_Hho1_6337
#N/A	input, quiescence, Esa5, strain 7041	https://www.dropbox.com/scl/fi/jraerxh0evpsz7r3tiwmm/7041_input_S11_R1_001.fastq.gz?rlkey=mxr3b3cfflfeyeus5q8ytw755&st=gattp3p6&dl=1;https://www.dropbox.com/scl/fi/10btbmmwnjb48e5x06yx8/7041_input_S11_R2_001.fastq.gz?rlkey=52o9mabltmy9galywxlr5450x&st=46m81zfb&dl=1	in_WT_Q_Esa5_7041
#N/A	immunoprecipitate, quiescence, Esa5, strain 7041	https://www.dropbox.com/scl/fi/ayocof3cbc1iei6y2g5mf/7041_IP_S12_R1_001.fastq.gz?rlkey=t5g3ckqqyc4ule9cyqwk7vx6j&st=q7wikcaz&dl=1;https://www.dropbox.com/scl/fi/twis9m1yyvuoahknr86sc/7041_IP_S12_R2_001.fastq.gz?rlkey=3m3tq8bv7xgxga4swrrdzntsi&st=ifhjtx8r&dl=1	IP_WT_Q_Esa5_7041
#N/A	input, quiescence, Rpd3, strain 7568	https://www.dropbox.com/scl/fi/5s6xqn8ryyywag7kb9sdt/7568_input_S7_R1_001.fastq.gz?rlkey=vv06jyvqi89lws612y4wu8gpx&st=ihsma6z3&dl=1;https://www.dropbox.com/scl/fi/vlw935t0xrmnz87p5b5ng/7568_input_S7_R2_001.fastq.gz?rlkey=fuuckh7783geul08c95dkauml&st=s6ph22dn&dl=1	in_WT_Q_Rpd3_7568
#N/A	immunoprecipitate, quiescence, Rpd3, strain 7568	https://www.dropbox.com/scl/fi/drdea7hesu4d7t05dz0v9/7568_IP_S8_R1_001.fastq.gz?rlkey=42cp241qblsolj2m6u16ban04&st=d6tpxyyu&dl=1;https://www.dropbox.com/scl/fi/97moisn6t7zddurtv7g4t/7568_IP_S8_R2_001.fastq.gz?rlkey=f29qcjyqdwjmtuiovbhr59a57&st=g4n2lvuy&dl=1	IP_WT_Q_Rpd3_7568
#N/A	input, quiescence, Rpd3, strain 7569	https://www.dropbox.com/scl/fi/5h6kz1eivafqzoy5xou68/7569_input_S3_R1_001.fastq.gz?rlkey=v6ooct1y3y9ri2a634hme5uk5&st=g5higb8n&dl=1;https://www.dropbox.com/scl/fi/ooaf213918r77l2sojy2j/7569_input_S3_R2_001.fastq.gz?rlkey=iiwvygor2ojej0cwrpfsq1byt&st=58kazbbt&dl=1	in_WT_Q_Rpd3_7569
#N/A	immunoprecipitate, quiescence, Rpd3, strain 7569	https://www.dropbox.com/scl/fi/mfxzfj4obaa7qofj78bii/7569_IP_S4_R1_001.fastq.gz?rlkey=6fqsmng1w1phewhcdsoal03zv&st=1c9jz6jn&dl=1;https://www.dropbox.com/scl/fi/tmgkvosx9kr27ysk27zs0/7569_IP_S4_R2_001.fastq.gz?rlkey=b7b633ksb3ccap12vu2m9klq1&st=vc7zq5a2&dl=1	IP_WT_Q_Rpd3_7569
#N/A	input, quiescence, Esa5, strain 7691	https://www.dropbox.com/scl/fi/vsfnd5ilrjse3pr1rzbts/7691_input_S1_R1_001.fastq.gz?rlkey=mbipml1tr7y704ovz7vkktls2&st=jovf2r3e&dl=1;https://www.dropbox.com/scl/fi/5p7ealb29qloxuxp63h2b/7691_input_S1_R2_001.fastq.gz?rlkey=sp7jpcyzknib8o7lf6697gkk5&st=9xmkj974&dl=1	in_WT_Q_Esa5_7691
#N/A	immunoprecipitate, quiescence, Esa5, strain 7691	https://www.dropbox.com/scl/fi/gcmi391650y8fay8xpwqk/7691_IP_S2_R1_001.fastq.gz?rlkey=4ks4a9dzwj3mklb7vh4wo9mye&st=vc8q6om8&dl=1;https://www.dropbox.com/scl/fi/d6nt1gdcxjfs4msj1smon/7691_IP_S2_R2_001.fastq.gz?rlkey=rskrzjsjun48ey6k5wx5osb6v&st=yly8vwte&dl=1	IP_WT_Q_Esa5_7691
#N/A	input, quiescence, Esa5, strain 7692	https://www.dropbox.com/scl/fi/wm0ylr6h98xme3auq60ls/7692_input_S9_R1_001.fastq.gz?rlkey=wuwyex3fcxod0tapv6beyueue&st=xomiz0y8&dl=1;https://www.dropbox.com/scl/fi/ew0e392269mdmuoba6h3k/7692_input_S9_R2_001.fastq.gz?rlkey=oq4y95tv2fgv39di3rb6fe3za&st=6abc2aex&dl=1	in_WT_Q_Gcn5_7692
#N/A	immunoprecipitate, quiescence, Esa5, strain 7692	https://www.dropbox.com/scl/fi/6kzyjhbrmahgjrbvb3f6d/7692_IP_S10_R1_001.fastq.gz?rlkey=h7dx1b780ldra60s4h1d1v2fo&st=1deujg73&dl=1;https://www.dropbox.com/scl/fi/i4kzf8w2kn0vz1h30m6j5/7692_IP_S10_R2_001.fastq.gz?rlkey=aih9dnagwsvwojggcrinyjzus&st=jqw83tmf&dl=1	IP_WT_Q_Gcn5_7692
#N/A	input, quiescence, Gcn5, strain 7709	https://www.dropbox.com/scl/fi/mgyjs1aggoltncagstl1b/7709_input_S5_R1_001.fastq.gz?rlkey=4mhj90ljwtqaxxziuot8rarjf&st=60lesln2&dl=1;https://www.dropbox.com/scl/fi/h9colzdjesideoqgwufhe/7709_input_S5_R2_001.fastq.gz?rlkey=yk33aaekzziaqsh91ksw5i3ay&st=tnulmxbj&dl=1	in_WT_Q_Gcn5_7709
#N/A	immunoprecipitate, quiescence, Gcn5, strain 7709	https://www.dropbox.com/scl/fi/b4cn9g2452ggyw73gu96n/7709_IP_S6_R1_001.fastq.gz?rlkey=e1kmsfut9yiw5ridpqcii4xo4&st=cl1dgtn7&dl=1;https://www.dropbox.com/scl/fi/wv1gtopux1xxu2lxowxxv/7709_IP_S6_R2_001.fastq.gz?rlkey=i0xloachl9m8cpsy9xprlqto0&st=d9w2m0iq&dl=1	IP_WT_Q_Gcn5_7709
#N/A	input, G1, Hmo1, strain 7750	https://www.dropbox.com/scl/fi/b7zocau0edcsnbzrk6lg2/7750_G1_in_S21_R1_001.fastq.gz?rlkey=dw4abyu4xfy2pzqjb9biwfclj&st=ga6l8cwf&dl=1;https://www.dropbox.com/scl/fi/0hqu7yw5arfluyn34rimw/7750_G1_in_S21_R2_001.fastq.gz?rlkey=a3d7fdhgj6c22u3640rudec3f&st=bco2h71h&dl=1	in_WT_G1_Hmo1_7750
