run_accession	sample_title	fastq_ftp	custom_name
SRR13736587	H3 in Log Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/087/SRR13736587/SRR13736587.fastq.gz	in_WT_log_H3_rep1
SRR13736588	H3 in Log Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/088/SRR13736588/SRR13736588.fastq.gz	in_WT_log_H3_rep2
SRR13736589	H3 in Log Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/089/SRR13736589/SRR13736589.fastq.gz	IP_WT_log_H3_rep1
SRR13736590	H3 in Log Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/090/SRR13736590/SRR13736590.fastq.gz	IP_WT_log_H3_rep2
SRR13736591	H3 in Q Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/091/SRR13736591/SRR13736591.fastq.gz	in_WT_Q_H3_rep1
SRR13736592	H3 in Q Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/092/SRR13736592/SRR13736592.fastq.gz	in_WT_Q_H3_rep2
SRR13736593	H3 in Q Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/093/SRR13736593/SRR13736593.fastq.gz	IP_WT_Q_H3_rep1
SRR13736594	H3 in Q Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/094/SRR13736594/SRR13736594.fastq.gz	IP_WT_Q_H3_rep2
SRR13736595	H4Ac in Log Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/095/SRR13736595/SRR13736595.fastq.gz	in_WT_log_H4ac_rep1
SRR13736596	H4Ac in Log Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/096/SRR13736596/SRR13736596.fastq.gz	in_WT_log_H4ac_rep2
SRR13736597	H4Ac in Log Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/097/SRR13736597/SRR13736597.fastq.gz	IP_WT_log_H4ac_rep1
SRR13736598	H4Ac in Log Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/098/SRR13736598/SRR13736598.fastq.gz	IP_WT_log_H4ac_rep2
SRR13736599	H4Ac in Q Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/099/SRR13736599/SRR13736599.fastq.gz	in_WT_Q_H4ac_rep1
SRR13736600	H4Ac in Q Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/000/SRR13736600/SRR13736600.fastq.gz	in_WT_Q_H4ac_rep2
SRR13736601	H4Ac in Q Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/001/SRR13736601/SRR13736601.fastq.gz	IP_WT_Q_H4ac_rep1
SRR13736602	H4Ac in Q Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/002/SRR13736602/SRR13736602.fastq.gz	IP_WT_Q_H4ac_rep2
SRR13736603	H4Ac in Q + TSA Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/003/SRR13736603/SRR13736603.fastq.gz	in_TSA_Q_H4ac_rep1
SRR13736604	H4Ac in Q + TSA Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/004/SRR13736604/SRR13736604.fastq.gz	in_TSA_Q_H4ac_rep2
SRR13736605	H4Ac in Q +TSA Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/005/SRR13736605/SRR13736605.fastq.gz	IP_TSA_Q_H4ac_rep1
SRR13736606	H4Ac in Q +TSA Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/006/SRR13736606/SRR13736606.fastq.gz	IP_TSA_Q_H4ac_rep2
SRR13736607	Hho1 in Log Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/007/SRR13736607/SRR13736607.fastq.gz	in_WT_log_Hho1_rep1
SRR13736608	Hho1 in Log Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/008/SRR13736608/SRR13736608.fastq.gz	in_WT_log_Hho1_rep2
SRR13736609	Hho1 in Log Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/009/SRR13736609/SRR13736609.fastq.gz	IP_WT_log_Hho1_rep1
SRR13736610	Hho1 in Log Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/010/SRR13736610/SRR13736610.fastq.gz	IP_WT_log_Hho1_rep2
SRR13736611	Hho1 in Q Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/011/SRR13736611/SRR13736611.fastq.gz	in_WT_Q_Hho1_rep1
SRR13736612	Hho1 in Q Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/012/SRR13736612/SRR13736612.fastq.gz	in_WT_Q_Hho1_rep2
SRR13736613	Hho1 in Q Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/013/SRR13736613/SRR13736613.fastq.gz	IP_WT_Q_Hho1_rep1
SRR13736614	Hho1 in Q Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/014/SRR13736614/SRR13736614.fastq.gz	IP_WT_Q_Hho1_rep2
