run_accession	sample_title	fastq_ftp	custom_name
SRR13736571	Brn1 in Q 5toA Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/071/SRR13736571/SRR13736571.fastq.gz	in_5-A_Q_Brn1_rep1
SRR13736572	Brn1 in Q 5toA Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/072/SRR13736572/SRR13736572.fastq.gz	in_5-A_Q_Brn1_rep2
SRR13736573	Brn1 in Q 5toA Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/073/SRR13736573/SRR13736573.fastq.gz	IP_5-A_Q_Brn1_rep1
SRR13736574	Brn1 in Q 5toA Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/074/SRR13736574/SRR13736574.fastq.gz	IP_5-A_Q_Brn1_rep2
SRR13736575	Brn1 in Q HHF2 Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/075/SRR13736575/SRR13736575.fastq.gz	in_HHF2_Q_Brn1_rep1
SRR13736576	Brn1 in Q HHF2 Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/076/SRR13736576/SRR13736576.fastq.gz	in_HHF2_Q_Brn1_rep2
SRR13736577	Brn1 in Q HHF2 Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/077/SRR13736577/SRR13736577.fastq.gz	IP_HHF2_Q_Brn1_rep1
SRR13736578	Brn1 in Q HHF2 Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/078/SRR13736578/SRR13736578.fastq.gz	IP_HHF2_Q_Brn1_rep2
SRR13736579	Brn1 in Q K16Q Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/079/SRR13736579/SRR13736579.fastq.gz	in_K16-Q_Q_Brn1_rep1
SRR13736580	Brn1 in Q K16Q Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/080/SRR13736580/SRR13736580.fastq.gz	in_K16-Q_Q_Brn1_rep2
SRR13736581	Brn1 in Q K16Q Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/081/SRR13736581/SRR13736581.fastq.gz	IP_K16-Q_Q_Brn1_rep1
SRR13736582	Brn1 in Q K16Q Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/082/SRR13736582/SRR13736582.fastq.gz	IP_K16-Q_Q_Brn1_rep2
SRR13736583	Brn1 in Q R17R19A Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/083/SRR13736583/SRR13736583.fastq.gz	in_R17-R19-A_Q_Brn1_rep1
SRR13736584	Brn1 in Q R17R19A Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/084/SRR13736584/SRR13736584.fastq.gz	in_R17-R19-A_Q_Brn1_rep2
SRR13736585	Brn1 in Q R17R19A Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/085/SRR13736585/SRR13736585.fastq.gz	IP_R17-R19-A_Q_Brn1_rep1
SRR13736586	Brn1 in Q R17R19A Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/086/SRR13736586/SRR13736586.fastq.gz	IP_R17-R19-A_Q_Brn1_rep2
