run_accession	sample_title	fastq_ftp
SRR13736571	Brn1 in Q 5toA Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/071/SRR13736571/SRR13736571.fastq.gz
SRR13736572	Brn1 in Q 5toA Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/072/SRR13736572/SRR13736572.fastq.gz
SRR13736575	Brn1 in Q HHF2 Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/075/SRR13736575/SRR13736575.fastq.gz
SRR13736578	Brn1 in Q HHF2 Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/078/SRR13736578/SRR13736578.fastq.gz
SRR13736580	Brn1 in Q K16Q Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/080/SRR13736580/SRR13736580.fastq.gz
SRR13736584	Brn1 in Q R17R19A Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/084/SRR13736584/SRR13736584.fastq.gz
SRR13736587	H3 in Log Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/087/SRR13736587/SRR13736587.fastq.gz
SRR13736594	H3 in Q Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/094/SRR13736594/SRR13736594.fastq.gz
SRR13736599	H4Ac in Q Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/099/SRR13736599/SRR13736599.fastq.gz
SRR13736600	H4Ac in Q Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/000/SRR13736600/SRR13736600.fastq.gz
SRR13736603	H4Ac in Q + TSA Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/003/SRR13736603/SRR13736603.fastq.gz
SRR13736605	H4Ac in Q +TSA Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/005/SRR13736605/SRR13736605.fastq.gz
SRR13736609	Hho1 in Log Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/009/SRR13736609/SRR13736609.fastq.gz
SRR13736613	Hho1 in Q Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/013/SRR13736613/SRR13736613.fastq.gz
SRR13736614	Hho1 in Q Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/014/SRR13736614/SRR13736614.fastq.gz
SRR13736616	Rpb3 in Log 5toA Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/016/SRR13736616/SRR13736616.fastq.gz
SRR13736619	Rpb3 in Log HHF2 Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/019/SRR13736619/SRR13736619.fastq.gz
SRR13736625	Rpb3 in Log K16Q Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/025/SRR13736625/SRR13736625.fastq.gz
SRR13736628	Rpb3 in Log R17R19A Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/028/SRR13736628/SRR13736628.fastq.gz
SRR13736633	Rpb3 in Q 5toA Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/033/SRR13736633/SRR13736633.fastq.gz
SRR13736636	Rpb3 in Q 5toA + Phenanthroline Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/036/SRR13736636/SRR13736636.fastq.gz
SRR13736638	Rpb3 in Q 5toA + Phenanthroline Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/038/SRR13736638/SRR13736638.fastq.gz
SRR13736641	Rpb3 in Q HHF2 Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/041/SRR13736641/SRR13736641.fastq.gz
SRR13736647	Rpb3 in Q R17R19A Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/047/SRR13736647/SRR13736647.fastq.gz
SRR13736649	Rpb3 in Q R17R19A Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/049/SRR13736649/SRR13736649.fastq.gz
SRR13736576	Brn1 in Q HHF2 Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/076/SRR13736576/SRR13736576.fastq.gz
SRR13736577	Brn1 in Q HHF2 Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/077/SRR13736577/SRR13736577.fastq.gz
SRR13736579	Brn1 in Q K16Q Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/079/SRR13736579/SRR13736579.fastq.gz
SRR13736581	Brn1 in Q K16Q Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/081/SRR13736581/SRR13736581.fastq.gz
SRR13736583	Brn1 in Q R17R19A Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/083/SRR13736583/SRR13736583.fastq.gz
SRR13736586	Brn1 in Q R17R19A Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/086/SRR13736586/SRR13736586.fastq.gz
SRR13736588	H3 in Log Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/088/SRR13736588/SRR13736588.fastq.gz
SRR13736589	H3 in Log Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/089/SRR13736589/SRR13736589.fastq.gz
SRR13736591	H3 in Q Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/091/SRR13736591/SRR13736591.fastq.gz
SRR13736592	H3 in Q Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/092/SRR13736592/SRR13736592.fastq.gz
SRR13736593	H3 in Q Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/093/SRR13736593/SRR13736593.fastq.gz
SRR13736595	H4Ac in Log Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/095/SRR13736595/SRR13736595.fastq.gz
SRR13736596	H4Ac in Log Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/096/SRR13736596/SRR13736596.fastq.gz
SRR13736598	H4Ac in Log Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/098/SRR13736598/SRR13736598.fastq.gz
SRR13736601	H4Ac in Q Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/001/SRR13736601/SRR13736601.fastq.gz
SRR13736604	H4Ac in Q + TSA Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/004/SRR13736604/SRR13736604.fastq.gz
SRR13736608	Hho1 in Log Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/008/SRR13736608/SRR13736608.fastq.gz
SRR13736610	Hho1 in Log Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/010/SRR13736610/SRR13736610.fastq.gz
SRR13736612	Hho1 in Q Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/012/SRR13736612/SRR13736612.fastq.gz
SRR13736615	Rpb3 in Log 5toA Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/015/SRR13736615/SRR13736615.fastq.gz
SRR13736617	Rpb3 in Log 5toA Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/017/SRR13736617/SRR13736617.fastq.gz
SRR13736620	Rpb3 in Log HHF2 Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/020/SRR13736620/SRR13736620.fastq.gz
SRR13736621	Rpb3 in Log HHF2 Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/021/SRR13736621/SRR13736621.fastq.gz
SRR13736622	Rpb3 in Log HHF2 Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/022/SRR13736622/SRR13736622.fastq.gz
SRR13736623	Rpb3 in Log K16Q Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/023/SRR13736623/SRR13736623.fastq.gz
SRR13736624	Rpb3 in Log K16Q Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/024/SRR13736624/SRR13736624.fastq.gz
SRR13736627	Rpb3 in Log R17R19A Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/027/SRR13736627/SRR13736627.fastq.gz
SRR13736630	Rpb3 in Log R17R19A Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/030/SRR13736630/SRR13736630.fastq.gz
SRR13736631	Rpb3 in Q 5toA Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/031/SRR13736631/SRR13736631.fastq.gz
SRR13736632	Rpb3 in Q 5toA Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/032/SRR13736632/SRR13736632.fastq.gz
SRR13736635	Rpb3 in Q 5toA + Phenanthroline Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/035/SRR13736635/SRR13736635.fastq.gz
SRR13736637	Rpb3 in Q 5toA + Phenanthroline Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/037/SRR13736637/SRR13736637.fastq.gz
SRR13736640	Rpb3 in Q HHF2 Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/040/SRR13736640/SRR13736640.fastq.gz
SRR13736642	Rpb3 in Q HHF2 Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/042/SRR13736642/SRR13736642.fastq.gz
SRR13736644	Rpb3 in Q K16Q Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/044/SRR13736644/SRR13736644.fastq.gz
SRR13736645	Rpb3 in Q K16Q Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/045/SRR13736645/SRR13736645.fastq.gz
SRR13736646	Rpb3 in Q K16Q Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/046/SRR13736646/SRR13736646.fastq.gz
SRR13736573	Brn1 in Q 5toA Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/073/SRR13736573/SRR13736573.fastq.gz
SRR13736574	Brn1 in Q 5toA Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/074/SRR13736574/SRR13736574.fastq.gz
SRR13736590	H3 in Log Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/090/SRR13736590/SRR13736590.fastq.gz
SRR13736597	H4Ac in Log Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/097/SRR13736597/SRR13736597.fastq.gz
SRR13736602	H4Ac in Q Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/002/SRR13736602/SRR13736602.fastq.gz
SRR13736643	Rpb3 in Q K16Q Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/043/SRR13736643/SRR13736643.fastq.gz
SRR13736650	Rpb3 in Q R17R19A Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/050/SRR13736650/SRR13736650.fastq.gz
