run_accession	sample_title	fastq_ftp
SRR13736582	Brn1 in Q K16Q Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/082/SRR13736582/SRR13736582.fastq.gz
SRR13736585	Brn1 in Q R17R19A Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/085/SRR13736585/SRR13736585.fastq.gz
SRR13736606	H4Ac in Q +TSA Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/006/SRR13736606/SRR13736606.fastq.gz
SRR13736607	Hho1 in Log Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/007/SRR13736607/SRR13736607.fastq.gz
SRR13736611	Hho1 in Q Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/011/SRR13736611/SRR13736611.fastq.gz
SRR13736618	Rpb3 in Log 5toA Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/018/SRR13736618/SRR13736618.fastq.gz
SRR13736626	Rpb3 in Log K16Q Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/026/SRR13736626/SRR13736626.fastq.gz
SRR13736629	Rpb3 in Log R17R19A Rep1 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/029/SRR13736629/SRR13736629.fastq.gz
SRR13736634	Rpb3 in Q 5toA Rep2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/034/SRR13736634/SRR13736634.fastq.gz
SRR13736639	Rpb3 in Q HHF2 Rep1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/039/SRR13736639/SRR13736639.fastq.gz
SRR13736648	Rpb3 in Q R17R19A Rep2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/048/SRR13736648/SRR13736648.fastq.gz
