fil_ip	fil_in	alpha	eqn	mass_ip	mass_in	vol_all	vol_in	dep_ip	dep_in	len_ip	len_in	dm_fr_1	dm_fr_5	dm_fr_10	dm_fr_20	dm_fr_30	dm_fr_40	dm_fr_50	dm_nm_1	dm_nm_5	dm_nm_10	dm_nm_20	dm_nm_30	dm_nm_40	dm_nm_50
/path/to/IP_WT_G1_Hho1_6336.sc.bam	/path/to/in_WT_G1_Hho1_6336.sc.bam	0.0023106316806475436	6nd	2.7	72.5	300	20	13492920	12851824	227.009	197.186	1.057145188525161913560992	5.285727681766210691694565	10.571459711386642943894079	21.142936814211630501884292	31.714431308517879506377973	42.285943194348306930990333	52.857472471745829890545037	.000000082256432123966365	.000000411282295942288868	.000000822564930190970787	.000001645131213609183451	.000002467698850257977350	.000003290267840140691852	.000004112838183260666337
/path/to/IP_WT_G1_Hho1_6337.sc.bam	/path/to/in_WT_G1_Hho1_6337.sc.bam	0.003816492180174805	6nd	5	81.1	300	20	13655994	12030091	230.767	199.994	.989552363786638659996657	4.947763446874665833134546	9.895530963606025946165593	19.791078206658915356765211	29.686641729198841004106662	39.582221531265975792676933	49.477817612900492759142736	.000000082256432123966365	.000000411282295942288868	.000000822564930190970787	.000001645131213609183451	.000002467698850257977350	.000003290267840140691852	.000004112838183260666337
/path/to/IP_WT_G1_Hmo1_7750.sc.bam	/path/to/in_WT_G1_Hmo1_7750.sc.bam	0.00690681761830637	6nd	8.4	79.9	300	20	14276141	7475096	226.664	208.476	.614874726744132484183733	3.074374645269019749775851	6.148751819410804966153509	12.297513754325152781279393	18.446285804768005461840121	24.595067970764325106429882	30.743860252339073895774922	.000000082256432123966365	.000000411282295942288868	.000000822564930190970787	.000001645131213609183451	.000002467698850257977350	.000003290267840140691852	.000004112838183260666337
/path/to/IP_WT_G1_Hmo1_7751.sc.bam	/path/to/in_WT_G1_Hmo1_7751.sc.bam	0.003286089627599139	6nd	3.2	63.6	300	20	14201390	11554158	217.431	198.809	.950403813276582975682366	4.752020629919964465209630	9.504045168685446646587856	19.008105972772255849161209	28.512182412299011069685759	38.016274487304295897077131	47.520382197826694047201398	.000000082256432123966365	.000000411282295942288868	.000000822564930190970787	.000001645131213609183451	.000002467698850257977350	.000003290267840140691852	.000004112838183260666337
/path/to/IP_WT_G2M_Hho1_6336.sc.bam	/path/to/in_WT_G2M_Hho1_6336.sc.bam	0.003963505904995092	6nd	6.6	104.9	300	20	12812979	10830518	232.687	205.216	.890879768734395954826083	4.454400309284286548601228	8.908804282602052546270305	17.817623221356106336346254	26.726456816298328339670521	35.635305067464885644684798	44.544167974891945458830284	.000000082256432123966365	.000000411282295942288868	.000000822564930190970787	.000001645131213609183451	.000002467698850257977350	.000003290267840140691852	.000004112838183260666337
/path/to/IP_WT_G2M_Hho1_6337.sc.bam	/path/to/in_WT_G2M_Hho1_6337.sc.bam	0.004564680437401102	6nd	6.1	85.2	300	20	12226008	10106382	233.732	208.625	.831314925001875446652426	4.156575992629821256714183	8.313155404313283724442393	16.626324484858006668539374	24.939507241667917652889366	33.252703674776765609133454	41.565913784218299579955836	.000000082256432123966365	.000000411282295942288868	.000000822564930190970787	.000001645131213609183451	.000002467698850257977350	.000003290267840140691852	.000004112838183260666337
/path/to/IP_WT_G2M_Hmo1_7750.sc.bam	/path/to/in_WT_G2M_Hmo1_7750.sc.bam	0.010778646516173633	6nd	5.4	32.4	300	20	12991422	11710115	239.72	217.044	.963232279661340398173775	4.816162982948236010232703	9.632329927503239877618789	19.264675701453103272700651	28.897037321888694443359113	38.529414788849117776371188	48.161808102373477787177897	.000000082256432123966365	.000000411282295942288868	.000000822564930190970787	.000001645131213609183451	.000002467698850257977350	.000003290267840140691852	.000004112838183260666337
/path/to/IP_WT_G2M_Hmo1_7751.sc.bam	/path/to/in_WT_G2M_Hmo1_7751.sc.bam	0.0023721270908550834	6nd	3.4	93.4	300	20	12899803	12166422	220.254	200.936	1.000766465434531118595349	5.003833973562774016829671	10.007672063103891184530514	20.015360590141468945886287	30.023065581153361314296407	40.030787036180196453667065	50.038524955262602661582101	.000000082256432123966365	.000000411282295942288868	.000000822564930190970787	.000001645131213609183451	.000002467698850257977350	.000003290267840140691852	.000004112838183260666337
/path/to/IP_WT_Q_Hho1_6336.sc.bam	/path/to/in_WT_Q_Hho1_6336.sc.bam	0.09296116993382085	6nd	116.9	72.7	300	20	13442837	8771057	261.198	211.407	.721475854775940059408885	3.607380460800684373740447	7.214763888906025658267867	14.429539647045323776217736	21.644327274447184047149499	28.859126771140896260733984	36.073938137155750303013353	.000000082256432123966365	.000000411282295942288868	.000000822564930190970787	.000001645131213609183451	.000002467698850257977350	.000003290267840140691852	.000004112838183260666337
/path/to/IP_WT_Q_Hho1_6337.sc.bam	/path/to/in_WT_Q_Hho1_6337.sc.bam	0.05815143666446435	6nd	70.6	69.6	300	20	12805318	6856398	255.112	204.75	.563982836701898741674003	2.819915111334117511577596	5.639832542231511722167178	11.279674362727578198227617	16.919525461511095390955472	22.559385838604959338458748	28.199255494032066154179610	.000000082256432123966365	.000000411282295942288868	.000000822564930190970787	.000001645131213609183451	.000002467698850257977350	.000003290267840140691852	.000004112838183260666337
/path/to/IP_WT_Q_Hmo1_7750.sc.bam	/path/to/in_WT_Q_Hmo1_7750.sc.bam	0.024764526393081313	6nd	27.4	67.9	300	20	11487476	11300616	252.177	216.662	.929548352963008295396666	4.647743294042164660980003	9.295490411154967531305793	18.590996114611356258510983	27.886517110406902976250454	37.182053398579344603323252	46.477604979166418182693094	.000000082256432123966365	.000000411282295942288868	.000000822564930190970787	.000001645131213609183451	.000002467698850257977350	.000003290267840140691852	.000004112838183260666337
/path/to/IP_WT_Q_Hmo1_7751.sc.bam	/path/to/in_WT_Q_Hmo1_7751.sc.bam	0.009092163417960887	6nd	14.8	106.6	300	20	14144271	10230027	224.467	205.799	.841485521551843267936179	4.207428992111605563826899	8.414861445106746307403207	16.829736733764714156395221	25.244625866008065262408926	33.659528841870961453278402	42.074445661387564669239384	.000000082256432123966365	.000000411282295942288868	.000000822564930190970787	.000001645131213609183451	.000002467698850257977350	.000003290267840140691852	.000004112838183260666337
