main_ip	spike_ip	main_in	spike_in	spike	coef	num_mp	num_sp	num_mn	num_sn
path/to/IP_WT_G1_Hho1_6336.sc.bam	path/to/IP_WT_G1_Hho1_6336.sp.bam	path/to/in_WT_G1_Hho1_6336.sc.bam	path/to/in_WT_G1_Hho1_6336.sp.bam	2.145085661466039	fractional	13492920	217340	12851824	452406
path/to/IP_WT_G1_Hho1_6337.sc.bam	path/to/IP_WT_G1_Hho1_6337.sp.bam	path/to/in_WT_G1_Hho1_6337.sc.bam	path/to/in_WT_G1_Hho1_6337.sp.bam	3.228015767161274	fractional	13655994	116947	12030091	339029
path/to/IP_WT_G1_Hmo1_7750.sc.bam	path/to/IP_WT_G1_Hmo1_7750.sp.bam	path/to/in_WT_G1_Hmo1_7750.sc.bam	path/to/in_WT_G1_Hmo1_7750.sp.bam	4.198693432231057	fractional	14276141	110211	7475096	248430
path/to/IP_WT_G1_Hmo1_7751.sc.bam	path/to/IP_WT_G1_Hmo1_7751.sp.bam	path/to/in_WT_G1_Hmo1_7751.sc.bam	path/to/in_WT_G1_Hmo1_7751.sp.bam	4.9152384376005225	fractional	14201390	108539	11554158	447437
path/to/IP_WT_G2M_Hho1_6336.sc.bam	path/to/IP_WT_G2M_Hho1_6336.sp.bam	path/to/in_WT_G2M_Hho1_6336.sc.bam	path/to/in_WT_G2M_Hho1_6336.sp.bam	2.7798762361126106	fractional	12812979	116676	10830518	278678
path/to/IP_WT_G2M_Hho1_6337.sc.bam	path/to/IP_WT_G2M_Hho1_6337.sp.bam	path/to/in_WT_G2M_Hho1_6337.sc.bam	path/to/in_WT_G2M_Hho1_6337.sp.bam	3.820369902093361	fractional	12226008	86098	10106382	277410
path/to/IP_WT_G2M_Hmo1_7750.sc.bam	path/to/IP_WT_G2M_Hmo1_7750.sp.bam	path/to/in_WT_G2M_Hmo1_7750.sc.bam	path/to/in_WT_G2M_Hmo1_7750.sp.bam	3.326648608882522	fractional	12991422	116116	11710115	355574
path/to/IP_WT_G2M_Hmo1_7751.sc.bam	path/to/IP_WT_G2M_Hmo1_7751.sp.bam	path/to/in_WT_G2M_Hmo1_7751.sc.bam	path/to/in_WT_G2M_Hmo1_7751.sp.bam	3.089232427646314	fractional	12899803	89297	12166422	263994
path/to/IP_WT_Q_Hho1_6336.sc.bam	path/to/IP_WT_Q_Hho1_6336.sp.bam	path/to/in_WT_Q_Hho1_6336.sc.bam	path/to/in_WT_Q_Hho1_6336.sp.bam	18.248521603079407	fractional	13442837	23143	8771057	283988
path/to/IP_WT_Q_Hho1_6337.sc.bam	path/to/IP_WT_Q_Hho1_6337.sp.bam	path/to/in_WT_Q_Hho1_6337.sc.bam	path/to/in_WT_Q_Hho1_6337.sp.bam	12.87759465888138	fractional	12805318	29088	6856398	206126
path/to/IP_WT_Q_Hmo1_7750.sc.bam	path/to/IP_WT_Q_Hmo1_7750.sp.bam	path/to/in_WT_Q_Hmo1_7750.sc.bam	path/to/in_WT_Q_Hmo1_7750.sp.bam	9.955133811823028	fractional	11487476	42038	11300616	425635
path/to/IP_WT_Q_Hmo1_7751.sc.bam	path/to/IP_WT_Q_Hmo1_7751.sp.bam	path/to/in_WT_Q_Hmo1_7751.sc.bam	path/to/in_WT_Q_Hmo1_7751.sp.bam	5.991513532752734	fractional	14144271	50200	10230027	221462
